cik,name,tickers,ein
0000001800,ABBOTT LABORATORIES,ABT,360698440
0000896878,INTUIT INC.,INTU,770034661
0000318154,AMGEN INC,AMGN,953540776
0000004962,AMERICAN EXPRESS CO,AXP,134922250
0001393818,Blackstone Inc.,BX,000000000
0001413329,Philip Morris International Inc.,PM,133435103
0000051143,INTERNATIONAL BUSINESS MACHINES CORP,IBM,130871985
0000018230,CATERPILLAR INC,CAT,370602744
0000895421,MORGAN STANLEY,MS,363145972
0000078003,PFIZER INC,PFE,
0001744489,Walt Disney Co,DIS,830940635
0000732712,VERIZON COMMUNICATIONS INC,VZ,232259884
0001035267,INTUITIVE SURGICAL INC,ISRG,770416458
0000886982,GOLDMAN SACHS GROUP INC,GS,134019460
0001373715,"ServiceNow, Inc.",NOW,202056195
0000064040,S&P Global Inc.,SPGI,131026995
0001166691,COMCAST CORP,CMCSA,270000798
0000753308,NEXTERA ENERGY INC,NEE,592449419
0000100885,UNION PACIFIC CORP,UNP,132626465
0000773840,HONEYWELL INTERNATIONAL INC,HON,222640650
0001543151,"Uber Technologies, Inc",UBER,452647441
0000050863,INTEL CORP,INTC,941672743
0000101829,RTX Corp,RTX,060570975
0000060667,LOWES COMPANIES INC,LOW,560578072
0001075531,Booking Holdings Inc.,BKNG,061528493
0000732717,AT&T INC.,T,431301883
0000310764,STRYKER CORP,SYK,381239739
0001551182,Eaton Corp plc,ETN,981059235
0001163165,CONOCOPHILLIPS,COP,010562944
0000109198,TJX COMPANIES INC /DE/,TJX,042207613
0000875320,VERTEX PHARMACEUTICALS INC / MA,VRTX,043039129
0000723125,MICRON TECHNOLOGY INC,MU,751618004
0000080661,PROGRESSIVE CORP/OH/,PGR,340963169
0001364742,BlackRock Inc.,BLK,320174431
0000707549,LAM RESEARCH CORP,LRCX,942634797
0000831001,CITIGROUP INC,C,521568099
0000316709,SCHWAB CHARLES CORP,SCHW,943025021
0000936468,LOCKHEED MARTIN CORP,LMT,521893632
0000872589,"REGENERON PHARMACEUTICALS, INC.",REGN,133444607
0001156039,"Elevance Health, Inc.",ELV,352145715
0001045609,"Prologis, Inc.",PLD,943281941
0000885725,BOSTON SCIENTIFIC CORP,BSX,042695240
0000006281,ANALOG DEVICES INC,ADI,042348234
0000012927,BOEING CO,BA,910425694
0000320187,"NIKE, Inc.",NKE,930584541
0001404912,KKR & Co. Inc.,KKR,
0001327567,Palo Alto Networks Inc,PANW,202530195
0000319201,KLA CORP,KLAC,042564110
0001596532,"Arista Networks, Inc.",ANET,201751121
0000062709,"MARSH & MCLENNAN COMPANIES, INC.",MMC,362668272
0001090727,UNITED PARCEL SERVICE INC,UPS,582480149
0000896159,Chubb Ltd,CB,000000000
0000315189,DEERE & CO,DE,362382580
0001613103,Medtronic plc,MDT,000000000
0000008670,AUTOMATIC DATA PROCESSING INC,ADP,221467904
0001053507,AMERICAN TOWER CORP /MA/,AMT,650723837
0001739940,Cigna Group,CI,824991898
0001559720,"Airbnb, Inc.",ABNB,263051428
0000798354,FISERV INC,FI,391506125
0000883241,SYNOPSYS INC,SNPS,561546236
0001571996,Dell Technologies Inc.,DELL,800890963
0000092122,SOUTHERN CO,SO,580690070
0000860730,"HCA Healthcare, Inc.",HCA,273865930
0000882095,"GILEAD SCIENCES, INC.",GILD,943047598
0001103982,"Mondelez International, Inc.",MDLZ,522284372
0000823768,WASTE MANAGEMENT INC,WM,731309529
0000089800,SHERWIN WILLIAMS CO,SHW,340526850
0000829224,STARBUCKS CORP,SBUX,911325671
0001099590,MERCADOLIBRE INC,MELI,980212790
0000014272,BRISTOL MYERS SQUIBB CO,BMY,220790350
0001571949,"Intercontinental Exchange, Inc.",ICE,000000000
0000764180,"ALTRIA GROUP, INC.",MO,133260245
0001326160,Duke Energy CORP,DUK,202777218
0001059556,MOODYS CORP /DE/,MCO,133998945
0001555280,Zoetis Inc.,ZTS,460696167
0001001838,SOUTHERN COPPER CORP/,SCCO,133849074
0000040533,GENERAL DYNAMICS CORP,GD,131673581
0000820313,AMPHENOL CORP /DE/,APH,222785165
0000021665,COLGATE PALMOLIVE CO,CL,131815595
0001466258,Trane Technologies plc,TT,000000000
0000895728,ENBRIDGE INC,ENB,000000000
0000723254,CINTAS CORP,CTAS,311188630
0000813672,CADENCE DESIGN SYSTEMS INC,CDNS,770148231
0000016875,CANADIAN PACIFIC KANSAS CITY LTD/CN,CP,980355078
0001101239,EQUINIX INC,EQIX,770487526
0000927653,MCKESSON CORP,MCK,943207296
0001048911,FEDEX CORP,FDX,621721435
0000064803,CVS HEALTH Corp,CVS,050494040
0000049826,ILLINOIS TOOL WORKS INC,ITW,361258310
0001058090,CHIPOTLE MEXICAN GRILL INC,CMG,841219301
0001260221,TransDigm Group INC,TDG,510484716
0000821189,EOG RESOURCES INC,EOG,470684736
0001156375,CME GROUP INC.,CME,364459170
0000713676,"PNC FINANCIAL SERVICES GROUP, INC.",PNC,251435979
0000076334,PARKER HANNIFIN CORP,PH,340451060
0000036104,US BANCORP \DE\,USB,410255900
0001858681,"Apollo Global Management, Inc.",APO,863155788
0000031462,ECOLAB INC.,ECL,410231510
0000087347,SCHLUMBERGER LIMITED/NV,SLB,520684746
0000027419,TARGET CORP,TGT,410215170
0001048286,MARRIOTT INTERNATIONAL INC /MD/,MAR,522055918
0000010795,BECTON DICKINSON & CO,BDX,220760120
0000032604,EMERSON ELECTRIC CO,EMR,430259330
0001535527,"CrowdStrike Holdings, Inc.",CRWD,453788918
0000068505,"Motorola Solutions, Inc.",MSI,361115800
0000277948,CSX CORP,CSX,621051971
0001413447,NXP Semiconductors N.V.,NXPI,000000000
0000766704,WELLTOWER INC.,WELL,341096634
0001133421,NORTHROP GRUMMAN CORP /DE/,NOC,800640649
0000315293,Aon plc,AON,981539969
0001061219,ENTERPRISE PRODUCTS PARTNERS L.P.,EPD,760568219
0000831259,FREEPORT-MCMORAN INC,FCX,742480931
0001321655,Palantir Technologies Inc.,PLTR,
0001679788,"Coinbase Global, Inc.",COIN,464707224
0001633917,"PayPal Holdings, Inc.",PYPL,472989869
0001060391,"REPUBLIC SERVICES, INC.",RSG,650716904
0000898173,O REILLY AUTOMOTIVE INC,ORLY,274358837
0001783180,CARRIER GLOBAL Corp,CARR,834051582
0000882835,ROPER TECHNOLOGIES INC,ROP,510263969
0001327811,"Workday, Inc.",WDAY,202480422
0001868275,Constellation Energy Corp,CEG,871210716
0000354190,Arthur J. Gallagher & Co.,AJG,362151613
0001835632,"Marvell Technology, Inc.",MRVL,853971597
0000092230,TRUIST FINANCIAL CORP,TFC,560939887
0001063761,SIMON PROPERTY GROUP INC /DE/,SPG,046268599
0000882184,HORTON D R INC /DE/,DHI,752386963
0001534701,Phillips 66,PSX,453779385
0000066740,3M CO,MMM,410417775
0001222333,SPDR GOLD TRUST,GLD,522369757
0001510295,Marathon Petroleum Corp,MPC,271284632
0000849395,CRH PUBLIC LTD CO,CRH,000000000
0000002969,"Air Products & Chemicals, Inc.",APD,231274455
0000927628,CAPITAL ONE FINANCIAL CORP,COF,541719854
0001585689,Hilton Worldwide Holdings Inc.,HLT,274384691
0000037996,FORD MOTOR CO,F,380549190
0001276187,Energy Transfer LP,ET,300108820
0001164727,NEWMONT Corp /DE/,NEM,841611629
0000107263,"WILLIAMS COMPANIES, INC.",WMB,730569878
0000004977,AFLAC INC,AFL,581167100
0001099219,METLIFE INC,MET,134075851
0000797468,OCCIDENTAL PETROLEUM CORP /DE/,OXY,954035997
0000769397,"Autodesk, Inc.",ADSK,942819853
0001393311,Public Storage,PSA,953551121
0001467858,General Motors Co,GM,270756180
0001099800,Edwards Lifesciences Corp,EW,364316614
0001297996,"DIGITAL REALTY TRUST, INC.",DLR,260081711
0001381197,"Interactive Brokers Group, Inc.",IBKR,300390693
0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,
0000075362,PACCAR INC,PCAR,910351110
0000702165,NORFOLK SOUTHERN CORP,NSC,521188014
0000900075,COPART INC,CPRT,942867490
0000866787,AUTOZONE INC,AZO,621482048
0001067701,"UNITED RENTALS, INC.",URI,061522496
0000726728,REALTY INCOME CORP,O,330580106
0000865752,Monster Beverage Corp,MNST,471809393
0000004904,AMERICAN ELECTRIC POWER CO INC,AEP,134922640
0001032208,SEMPRA,SRE,330732627
0001671933,"Trade Desk, Inc.",TTD,271887399
0001039684,ONEOK INC /NEW/,OKE,731520922
0000827054,MICROCHIP TECHNOLOGY INC,MCHP,860629024
0001035002,VALERO ENERGY CORP/TX,VLO,741828067
0001506307,"KINDER MORGAN, INC.",KMI,260238387
0000745732,"ROSS STORES, INC.",ROST,941390387
0001004980,PG&E Corp,PCG,943234914
0000030554,"EIDP, Inc.",CTA-PA,510014090
0000920760,LENNAR CORP /NEW/,LEN,954337490
0000086312,"TRAVELERS COMPANIES, INC.",TRV,410518860
0001176948,Ares Management Corp,ARES,954656677
0001390777,Bank of New York Mellon Corp,BK,132614959
0000277135,"W.W. GRAINGER, INC.",GWW,361150280
0001318220,"Waste Connections, Inc.",WCN,000000000
0000049071,HUMANA INC,HUM,610647538
0000833444,Johnson Controls International plc,JCI,000000000
0001682852,"Moderna, Inc.",MRNA,813467528
0001385157,TE Connectivity Ltd.,TEL,980518048
0001091667,"CHARTER COMMUNICATIONS, INC. /MO/",CHTR,841496755
0001375365,"Super Micro Computer, Inc.",SMCI,770353939
0000055785,KIMBERLY CLARK CORP,KMB,390394230
0000899051,ALLSTATE CORP,ALL,363871531
0001650372,Atlassian Corp,TEAM,883940934
0000202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",LHX,340276860
0001051470,CROWN CASTLE INC.,CCI,760470458
0000004447,HESS CORP,HES,134921002
0001093557,DEXCOM INC,DXCM,330857544
0001280452,MONOLITHIC POWER SYSTEMS INC,MPWR,770466789
0001137774,PRUDENTIAL FINANCIAL INC,PRU,
0000016918,"CONSTELLATION BRANDS, INC.",STZ,160716709
0000723531,PAYCHEX INC,PAYX,161124166
0001418135,Keurig Dr Pepper Inc.,KDP,753258232
0001640147,Snowflake Inc.,SNOW,460636374
0001262039,"Fortinet, Inc.",FTNT,770560389
0001140859,"Cencora, Inc.",COR,233079390
0001552000,MPLX LP,MPLX,270005456
0000884887,ROYAL CARIBBEAN CRUISES LTD,RCL,980081645
0001278680,ISHARES GOLD TRUST,IAU,000000000
0001478242,IQVIA HOLDINGS INC.,IQV,271341991
0001408198,MSCI Inc.,MSCI,134038723
0001792789,"DoorDash, Inc.",DASH,462852392
0001832433,Ferguson (Jersey) Ltd,FERG,000000000
0000715957,"DOMINION ENERGY, INC",D,541229715
0000878927,"OLD DOMINION FREIGHT LINE, INC.",ODFL,560751714
0001136893,"Fidelity National Information Services, Inc.",FIS,371490331
0000820027,AMERIPRISE FINANCIAL INC,AMP,133180631
0001512673,"Block, Inc.",SQ,800429876
0001561550,"Datadog, Inc.",DDOG,272825503
0001699150,Ingersoll Rand Inc.,IR,462393770
0000814547,FAIR ISAAC CORP,FICO,941499887
0000003570,"Cheniere Energy, Inc.",LNG,954352386
0001588489,Grayscale Bitcoin Trust (BTC),GBTC,467019388
0001637459,Kraft Heinz Co,KHC,462078182
0001037868,AMETEK INC/,AME,141682544
0001442145,"Verisk Analytics, Inc.",VRSK,262994223
0001781335,Otis Worldwide Corp,OTIS,833789412
0000874716,IDEXX LABORATORIES INC /DE,IDXX,010393723
0000056873,KROGER CO,KR,310345740
0001050915,"QUANTA SERVICES, INC.",PWR,742851603
0000815556,FASTENAL CO,FAST,410948415
0000026172,CUMMINS INC,CMI,350257090
0000073309,NUCOR CORP,NUE,131860817
0000047111,HERSHEY CO,HSY,230691590
0001090872,"AGILENT TECHNOLOGIES, INC.",A,770518772
0001755672,"Corteva, Inc.",CTVA,824979096
0000024741,CORNING INC /NY,GLW,160393470
0001751788,DOW INC.,DOW,301128146
0000712515,ELECTRONIC ARTS INC.,EA,942838567
0000788784,PUBLIC SERVICE ENTERPRISE GROUP INC,PEG,222625848
0000049938,IMPERIAL OIL LTD,IMO,980017682
0000047217,HP INC,HPQ,941081436
0001932393,GE HealthCare Technologies Inc.,GEHC,882515116
0001834584,"Coupang, Inc.",CPNG,272810505
0001058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,133728359
0001289490,Extra Space Storage Inc.,EXR,201076777
0000096021,SYSCO CORP,SYY,741648137
0000749251,GARTNER INC,IT,043099750
0001120193,"NASDAQ, INC.",NDAQ,521165937
0000947484,ARCH CAPITAL GROUP LTD.,ACGL,980374481
0001001250,ESTEE LAUDER COMPANIES INC,EL,112408943
0001635327,Flutter Entertainment plc,FLUT,000000000
0001109357,EXELON CORP,EXC,232990190
0000040704,GENERAL MILLS INC,GIS,410274440
0001701605,Baker Hughes Co,BKR,814403168
0001041061,YUM BRANDS INC,YUM,133951308
0001397187,lululemon athletica inc.,LULU,203842867
0001539838,"Diamondback Energy, Inc.",FANG,000000000
0001393612,Discover Financial Services,DFS,362517428
0000916076,MARTIN MARIETTA MATERIALS INC,MLM,561848578
0001944048,Kenvue Inc.,KVUE,881032011
0001396009,Vulcan Materials CO,VMC,208579133
0001071739,CENTENE CORP,CNC,041406317
0001524472,Xylem Inc.,XYL,452080495
0001674101,Vertiv Holdings Co,VRT,812376902
0001666700,"DuPont de Nemours, Inc.",DD,811224539
0000004281,Howmet Aerospace Inc.,HWM,250317820
0000033185,EQUIFAX INC,EFX,580401110
0001121788,GARMIN LTD,GRMN,980229227
0000875045,BIOGEN INC.,BIIB,330112644
0001047862,CONSOLIDATED EDISON INC,ED,133965100
0001618756,Restaurant Brands International Inc.,QSR,000000000
0001705696,VICI PROPERTIES INC.,VICI,814177147
0001097864,ON SEMICONDUCTOR CORP,ON,363840979
0001489393,LyondellBasell Industries N.V.,LYB,980646235
0001024478,"ROCKWELL AUTOMATION, INC",ROK,251797617
0001402057,CDW Corp,CDW,260273989
0000007084,Archer-Daniels-Midland Co,ADM,410129150
0001057352,"COSTAR GROUP, INC.",CSGP,522091509
0000072903,XCEL ENERGY INC,XEL,410448030
0000943819,RESMED INC,RMD,980152841
0001050446,MICROSTRATEGY Inc,MSTR,510323571
0001300514,LAS VEGAS SANDS CORP,LVS,270099920
0001138118,"CBRE GROUP, INC.",CBRE,943391143
0001393052,VEEVA SYSTEMS INC,VEEV,208235463
0001389170,Targa Resources Corp.,TRGP,000000000
0000874766,"HARTFORD FINANCIAL SERVICES GROUP, INC.",HIG,133317783
0001805284,"Rocket Companies, Inc.",RKT,844946470
0001178670,"ALNYLAM PHARMACEUTICALS, INC.",ALNY,770602661
0000079879,PPG INDUSTRIES INC,PPG,250730780
0000943452,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,WAB,251615902
0000915912,AVALONBAY COMMUNITIES INC,AVB,770404318
0000045012,HALLIBURTON CO,HAL,752677995
0001020569,IRON MOUNTAIN INC,IRM,232588479
0001823945,BLUE OWL CAPITAL INC.,OWL,863906032
0001037646,METTLER TOLEDO INTERNATIONAL INC/,MTD,133668641
0000916365,TRACTOR SUPPLY CO /DE/,TSCO,133139732
0001713683,"Zscaler, Inc.",ZS,261173892
0000827052,EDISON INTERNATIONAL,EIX,954137452
0000036270,M&T BANK CORP,MTB,160968385
0001090012,DEVON ENERGY CORP/DE,DVN,731567067
0000027904,"DELTA AIR LINES, INC.",DAL,580218548
0000035527,FIFTH THIRD BANCORP,FITB,310854434
0001692819,Vistra Corp.,VST,364833255
0001013462,ANSYS INC,ANSS,043219960
0001506293,"PINTEREST, INC.",PINS,263607129
0000079282,"BROWN & BROWN, INC.",BRO,590864469
0000046619,HEICO CORP,HEI,650341002
0001751008,AppLovin Corp,APP,453264542
0001477333,"Cloudflare, Inc.",NET,270805829
0001410636,"American Water Works Company, Inc.",AWK,510063696
0001140536,WILLIS TOWERS WATSON PLC,WTW,000000000
0000798941,FIRST CITIZENS BANCSHARES INC /DE/,FCNCA,561528994
0000906163,NVR INC,NVR,541394360
0001659166,Fortive Corp,FTV,000000000
0000906107,EQUITY RESIDENTIAL,EQR,363877868
0001065088,EBAY INC,EBAY,770430924
0001645590,Hewlett Packard Enterprise Co,HPE,473298624
0000029534,DOLLAR GENERAL CORP,DG,610502302
0000946581,TAKE TWO INTERACTIVE SOFTWARE INC,TTWO,510350842
0001002047,"NetApp, Inc.",NTAP,770307520
0000822416,PULTEGROUP INC/MI/,PHM,382766606
0001315098,Roblox Corp,RBLX,200991664
0001113169,PRICE T ROWE GROUP INC,TROW,522264646
0001383650,"Cheniere Energy Partners, L.P.",CQP,205913059
0000783325,"WEC ENERGY GROUP, INC.",WEC,391391525
0001123360,GLOBAL PAYMENTS INC,GPN,582567903
0000051253,INTERNATIONAL FLAVORS & FRAGRANCES INC,IFF,131432060
0000815097,CARNIVAL CORP,CCL,591562976
0000093751,STATE STREET CORP,STT,042456637
0001404655,HUBSPOT INC,HUBS,000000000
0000029905,DOVER Corp,DOV,530257888
0001967680,Veralto Corp,VLTO,921941413
0001236275,"QXO, Inc.",QXO,161633636
0000313927,CHURCH & DWIGHT CO INC /DE/,CHD,134996950
0001601046,"Keysight Technologies, Inc.",KEYS,464254555
0001069183,"AXON ENTERPRISE, INC.",AXON,860741227
0000084839,ROLLINS INC,ROL,510068479
0001383312,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",BR,331151291
0000936340,DTE ENERGY CO,DTE,383217752
0001758730,Tradeweb Markets Inc.,TW,000000000
0001274494,"FIRST SOLAR, INC.",FSLR,204623678
0000097210,"TERADYNE, INC",TER,042272148
0001564408,Snap Inc,SNAP,455452795
0000106040,WESTERN DIGITAL CORP,WDC,330956711
0000065984,ENTERGY CORP /DE/,ETR,721229752
0000721371,CARDINAL HEALTH INC,CAH,310958666
0000935703,"DOLLAR TREE, INC.",DLTR,541387365
0001837240,Symbotic Inc.,SYM,981572401
0000720005,RAYMOND JAMES FINANCIAL INC,RJF,591517485
0000105770,WEST PHARMACEUTICAL SERVICES INC,WST,231210010
0001031296,FIRSTENERGY CORP,FE,341843785
0001757898,STERIS plc,STE,000000000
0001136869,"ZIMMER BIOMET HOLDINGS, INC.",ZBH,134151777
0000910521,DECKERS OUTDOOR CORP,DECK,953015862
0000860731,TYLER TECHNOLOGIES INC,TYL,752303920
0001687229,Invitation Homes Inc.,INVH,900939055
0001125259,CARNIVAL PLC,CUK,000000000
0001137789,Seagate Technology Holdings plc,STX,981597419
0001034054,SBA COMMUNICATIONS CORP,SBAC,650716501
0000106535,WEYERHAEUSER CO,WY,910470860
0001335258,"Live Nation Entertainment, Inc.",LYV,203247759
0000049196,HUNTINGTON BANCSHARES INC /MD/,HBAN,310724920
0000740260,"Ventas, Inc.",VTR,611055020
0000072741,EVERSOURCE ENERGY,ES,042147929
0000857005,PTC INC.,PTC,042866152
0001035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",ARE,954502084
0000922224,PPL Corp,PPL,232758192
0001437107,"Warner Bros. Discovery, Inc.",WBD,352333914
0000100493,"TYSON FOODS, INC.",TSN,710225165
0001642896,Samsara Inc.,IOT,473100039
0001336920,"Leidos Holdings, Inc.",LDOS,203562868
0000014693,BROWN FORMAN CORP,BF-B,610143150
0001609711,GoDaddy Inc.,GDDY,465769934
0001443646,Booz Allen Hamilton Holding Corp,BAH,000000000
0001281761,REGIONS FINANCIAL CORP,RF,630589368
0000048898,HUBBELL INC,HUBB,060397030
0000790051,CARLISLE COMPANIES INC,CSL,311168055
0001175454,"CORPAY, INC.",CPAY,000000000
0001096343,MARKEL GROUP INC.,MKL,541959284
0001069202,LENNOX INTERNATIONAL INC,LII,420991521
0000922621,ERIE INDEMNITY CO,ERIE,250466020
0001002910,AMEREN CORP,AEE,431723446
0001601712,Synchrony Financial,SYF,510483352
0001783879,"Robinhood Markets, Inc.",HOOD,464364776
0000105016,WATSCO INC,WSO,590778222
0001316835,"Builders FirstSource, Inc.",BLDR,522084569
0000719955,WILLIAMS SONOMA INC,WSM,942203880
0001126328,PRINCIPAL FINANCIAL GROUP INC,PFG,421520346
0001474432,"Pure Storage, Inc.",PSTG,271069557
0000011544,BERKLEY W R CORP,WRB,221867895
0001101302,ENTEGRIS INC,ENTG,411941551
0001022671,STEEL DYNAMICS INC,STLD,351929476
0000063754,MCCORMICK & CO INC,MKC,520408290
0000858470,Coterra Energy Inc.,CTRA,043072771
0000009389,BALL Corp,BALL,350160610
0001374310,"Cboe Global Markets, Inc.",CBOE,205446972
0000055067,KELLANOVA,K,380710690
0000920522,"ESSEX PROPERTY TRUST, INC.",ESS,770369576
0000764478,BEST BUY CO INC,BBY,410907483
0000818686,TEVA PHARMACEUTICAL INDUSTRIES LTD,TEVA,000000000
0000759944,CITIZENS FINANCIAL GROUP INC/RI,CFG,050412693
0001094285,TELEDYNE TECHNOLOGIES INC,TDY,251843385
0000040987,GENUINE PARTS CO,GPC,580254510
0001097149,ALIGN TECHNOLOGY INC,ALGN,943267295
0000020286,CINCINNATI FINANCIAL CORP,CINF,310746871
0000052988,JACOBS SOLUTIONS INC.,J,954081636
0001910139,Mobileye Global Inc.,MBLY,000000000
0001521332,Aptiv PLC,APTV,000000000
0000731802,ATMOS ENERGY CORP,ATO,751743247
0000004127,"SKYWORKS SOLUTIONS, INC.",SWKS,042302115
0001441816,"MongoDB, Inc.",MDB,000000000
0001403568,"Ulta Beauty, Inc.",ULTA,384022268
0001262823,WESTLAKE CORP,WLK,760346924
0001110803,"ILLUMINA, INC.",ILMN,330804655
0001130310,CENTERPOINT ENERGY INC,CNP,740694415
0001585521,"Zoom Video Communications, Inc.",ZM,611648780
0000811156,CMS ENERGY CORP,CMS,382726431
0001811074,Texas Pacific Land Corp,TPL,750279735
0000859737,HOLOGIC INC,HOLX,042902449
0001883685,DraftKings Inc.,DKNG,000000000
0001000697,WATERS CORP /DE/,WAT,133668640
0001889539,"Corebridge Financial, Inc.",CRBG,954715639
0001880661,TPG Inc.,TPG,872063362
0000711404,"COOPER COMPANIES, INC.",COO,942657368
0000029989,OMNICOM GROUP INC.,OMC,131514814
0000010456,BAXTER INTERNATIONAL INC,BAX,360781620
0000105634,"EMCOR Group, Inc.",EME,112125338
0000008818,Avery Dennison Corp,AVY,951492269
0001324424,"Expedia Group, Inc.",EXPE,202705720
0000217346,TEXTRON INC,TXT,050315468
0001014473,VERISIGN INC/CA,VRSN,943221585
0000920148,LABCORP HOLDINGS INC.,LH,992588107
0000073124,NORTHERN TRUST CORP,NTRS,362723087
0000746515,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPD,911069248
0000060086,LOEWS CORP,L,132646102
0000075677,PACKAGING CORP OF AMERICA,PKG,364277050
0000912595,MID AMERICA APARTMENT COMMUNITIES INC.,MAA,621543819
0000861884,"RELIANCE, INC.",RS,951142616
0000048465,HORMEL FOODS CORP /DE/,HRL,410319970
0001874178,"Rivian Automotive, Inc. / DE",RIVN,000000000
0001802768,Royalty Pharma plc,RPRX,000000000
0000877212,ZEBRA TECHNOLOGIES CORP,ZBRA,362675536
0001651308,"BeiGene, Ltd.",BGNE,981209416
0000728535,HUNT J B TRANSPORT SERVICES INC,JBHT,710335111
0001179929,"MOLINA HEALTHCARE, INC.",MOH,134204626
0001402436,SS&C Technologies Holdings Inc,SSNC,710987913
0001527166,Carlyle Group Inc.,CG,
0000940944,DARDEN RESTAURANTS INC,DRI,593305930
0001095073,"EVEREST GROUP, LTD.",EG,980365432
0001089063,"DICK'S SPORTING GOODS, INC.",DKS,161241537
0001754301,Fox Corp,FOXA,000000000
0001319161,Warner Music Group Corp.,WMG,134271875
0001397911,LPL Financial Holdings Inc.,LPLA,203717839
0000021076,CLOROX CO /DE/,CLX,310595760
0000092380,SOUTHWEST AIRLINES CO,LUV,741563240
0001660134,"Okta, Inc.",OKTA,264175727
0001579298,"Burlington Stores, Inc.",BURL,800895227
0001564708,NEWS CORP,NWSA,000000000
0000912593,SUN COMMUNITIES INC,SUI,382730780
0001048477,BIOMARIN PHARMACEUTICAL INC,BMRN,680397820
0001013871,"NRG ENERGY, INC.",NRG,411724239
0001423902,"Western Midstream Partners, LP",WES,261075656
0000100517,"United Airlines Holdings, Inc.",UAL,362675207
0000849399,Gen Digital Inc.,GEN,770181864
0000051434,INTERNATIONAL PAPER CO /NEW/,IP,130872805
0001013237,FACTSET RESEARCH SYSTEMS INC,FDS,133362547
0000074208,"UDR, Inc.",UDR,540857512
0000062996,MASCO CORP /DE/,MAS,381794485
0001996862,Bunge Global SA,BG,000000000
0001022079,QUEST DIAGNOSTICS INC,DGX,161387862
0001468174,Hyatt Hotels Corp,H,201480589
0001552033,TransUnion,TRU,611678417
0000033213,EQT Corp,EQT,250464690
0001370946,Owens Corning,OC,000000000
0000101778,MARATHON OIL CORP,MRO,250996816
0000832101,IDEX CORP /DE/,IEX,363555336
0001849253,"RYAN SPECIALTY HOLDINGS, INC.",RYAN,000000000
0001562401,American Homes 4 Rent,AMH,461229660
0001306830,Celanese Corp,CE,980420726
0001690820,CARVANA CO.,CVNA,814549921
0000091576,KEYCORP /NEW/,KEY,346542451
0001650164,"Toast, Inc.",TOST,454168768
0001082554,UNITED THERAPEUTICS Corp,UTHR,521984749
0001286681,DOMINOS PIZZA INC,DPZ,382511577
0001031308,BENTLEY SYSTEMS INC,BSY,953936623
0001331875,"Fidelity National Financial, Inc.",FNF,161725106
0001046102,RB GLOBAL INC.,RBA,000000000
0000765880,"HEALTHPEAK PROPERTIES, INC.",DOC,330091377
0000914475,NEUROCRINE BIOSCIENCES INC,NBIX,330525145
0001086222,AKAMAI TECHNOLOGIES INC,AKAM,043432319
