CIK,Name,Supplier Financing Program,Text,Table
0000021344,COCA COLA CO,1,"SUPPLY CHAIN FINANCE PROGRAMOur current payment terms with the majority of our suppliers are 120 days. Two global financial institutions offer a voluntary supply chain finance (“SCF”) program, which enables our suppliers, at their sole discretion, to sell their receivables from the Company to these financial institutions on a non-recourse basis at a rate that leverages our credit rating and thus may be more beneficial to them. The SCF program is available to suppliers of goods and services included in cost of goods sold and selling, general and administrative expenses in our consolidated statement of income. The Company and our suppliers agree on contractual terms for the goods and services we procure, including prices, quantities and payment terms, regardless of whether the supplier elects to participate in the SCF program. The suppliers sell goods or services, as applicable, to the Company and issue the associated invoices to the Company based on the agreed-upon contractual terms. Then, if they are participating in the SCF program, our suppliers, at their sole discretion, determine which invoices, if any, they want to sell to the financial institutions. Our suppliers’ voluntary inclusion of invoices in the SCF program has no bearing on our payment terms. No guarantees are provided by the Company or any of our subsidiaries under the SCF program. We have no economic interest in a supplier’s decision to participate in the SCF program, and we have no direct financial relationship with the financial institutions, as it relates to the SCF program. Accordingly, amounts due to our suppliers that elected to participate in the SCF program are included in the line item accounts payable and accrued expenses in our consolidated balance sheet. All activity related to amounts due to suppliers that elected to participate in the SCF program is reflected within the operating activities section of our consolidated statement of cash flows. As of December 31, 2023 and 2022, the amount of obligations outstanding that the Company has confirmed as valid to the financial institutions under the SCF program was $1,421 million and $1,351 million, respectively.",
0001065280,NETFLIX INC,0,,
0000002488,ADVANCED MICRO DEVICES INC,0,,
0001108524,"Salesforce, Inc.",0,,
0000796343,ADOBE INC.,0,,
0000077476,PEPSICO INC,1,"Supply Chain Financing ArrangementsAs part of our evolving market practices, we work with our suppliers to optimize our terms and conditions, which include the extension of payment terms. Our current payment terms with a majority of our suppliers generally range from 60 to 90 days, which we deem to be commercially reasonable. We will continue to monitor economic conditions and market practice working with our suppliers to adjust as necessary. We also maintain voluntary supply chain finance agreements with several participating global financial institutions. Under these agreements, our suppliers, at their sole discretion, may elect to sell their accounts receivable with PepsiCo to these participating global financial institutions. Supplier participation in these financing arrangements is voluntary. Our suppliers negotiate their financing agreements directly with the respective global financial institutions and we are not a party to these agreements. These financing arrangements allow participating suppliers to leverage PepsiCo’s creditworthiness in establishing credit spreads and associated costs, which generally provides our suppliers with more favorable terms than they would be able to secure on their own. Neither PepsiCo nor any of its subsidiaries provide any guarantees to any third party in connection with these financing arrangements. We have no economic interest in our suppliers’ decision to participate in these agreements. Our obligations to our suppliers, including amounts due and scheduled payment terms, are not impacted. All outstanding amounts related to suppliers participating in such financing arrangements are recorded within accounts payable and other current liabilities in our consolidated balance sheet. As of both December 30, 2023 and December 31, 2022, $1.7 billion of our accounts payable are to suppliers participating in these financing arrangements.",
0000804328,QUALCOMM INC/DE,0,,
0001707925,LINDE PLC,0,,
0000097745,THERMO FISHER SCIENTIFIC INC.,0,,
0001283699,"T-Mobile US, Inc.",0,,
0001467373,Accenture plc,0,,
0000072971,WELLS FARGO & COMPANY/MN,0,,
0000072971,WELLS FARGO & COMPANY/MN,0,,
0000072971,WELLS FARGO & COMPANY/MN,0,,
0000072971,WELLS FARGO & COMPANY/MN,0,,
0000072971,WELLS FARGO & COMPANY/MN,0,,
0000072971,WELLS FARGO & COMPANY/MN,0,,
0000072971,WELLS FARGO & COMPANY/MN,0,,
0000072971,WELLS FARGO & COMPANY/MN,0,,
0000313616,DANAHER CORP /DE/,0,,
0000040545,GENERAL ELECTRIC CO,0,,
0000858877,"CISCO SYSTEMS, INC.",0,,
0000063908,MCDONALDS CORP,0,,
0000006951,APPLIED MATERIALS INC /DE,0,,
0000097476,TEXAS INSTRUMENTS INC,0,,
0000001800,ABBOTT LABORATORIES,0,,
0000896878,INTUIT INC.,0,,
0000318154,AMGEN INC,0,,
0000004962,AMERICAN EXPRESS CO,0,,
0001393818,Blackstone Inc.,0,,
0001413329,Philip Morris International Inc.,1,"Supply Chain Financing:   PMI has engaged with unaffiliated global financial institutions that offer a voluntary supply chain financing (""SCF"") program to some of our suppliers. Under the SCF program, the suppliers may elect, at their sole discretion, to sell PMI's payment obligations to these financial institutions. The suppliers independently negotiate the sale arrangements directly with these financial institutions. PMI does not participate in these negotiations, nor does it have any economic interest in these agreements, or in the designated suppliers’ voluntary decision to sell PMI's payment obligations to these financial institutions. No guarantees or securities are provided by PMI or any of its subsidiaries under the SCF programs. PMI's obligations to its suppliers, including amounts due and scheduled payment terms are not impacted by the suppliers’ decision to sell amounts under the SCF program.  The payment terms of PMI’s suppliers generally do not exceed 120 days. All outstanding payable amounts related to suppliers that are participating in the SCF program are recorded in accounts payable in PMI's consolidated balance sheets. The associated payments are included in cash flows from operating activities within PMI's consolidated statement of cash flows. As of December 31, 2023 and 2022, the total amount due to suppliers participating in the SCF program was approximately $0.9 billion and $1.1 billion, respectively.",
0000051143,INTERNATIONAL BUSINESS MACHINES CORP,0,,
0000018230,CATERPILLAR INC,0,,
0000895421,MORGAN STANLEY,0,,
0000895421,MORGAN STANLEY,0,,
0000895421,MORGAN STANLEY,0,,
0000895421,MORGAN STANLEY,0,,
0000895421,MORGAN STANLEY,0,,
0000895421,MORGAN STANLEY,0,,
0000895421,MORGAN STANLEY,0,,
0000895421,MORGAN STANLEY,0,,
0000895421,MORGAN STANLEY,0,,
0000895421,MORGAN STANLEY,0,,
0000078003,PFIZER INC,0,,
0001744489,Walt Disney Co,0,,
0000732712,VERIZON COMMUNICATIONS INC,0,,
0001035267,INTUITIVE SURGICAL INC,0,,
0000886982,GOLDMAN SACHS GROUP INC,0,,
0000886982,GOLDMAN SACHS GROUP INC,0,,
0000886982,GOLDMAN SACHS GROUP INC,0,,
0000886982,GOLDMAN SACHS GROUP INC,0,,
0000886982,GOLDMAN SACHS GROUP INC,0,,
0001373715,"ServiceNow, Inc.",0,,
0000064040,S&P Global Inc.,0,,
0001166691,COMCAST CORP,0,,
0001166691,COMCAST CORP,0,,
0000753308,NEXTERA ENERGY INC,1,"Structured Payables – Under NEE's structured payables program, subsidiaries of NEE issue negotiable drafts, backed by NEECH guarantees, to settle invoices with suppliers with payment terms (on average approximately 90 days) that extend the original invoice due date (typically 30 days) and include a service fee. At their discretion, the suppliers may assign the negotiable drafts and the rights under the NEECH guarantees to financial institutions. NEE and its subsidiaries are not party to any contractual agreements between their suppliers and the applicable financial institutions.At December 31, 2023 and 2022, NEE's outstanding obligations under its structured payables program were approximately $4.7 billion and $3.7 billion, respectively, substantially all of which is included in accounts payable on NEE's consolidated balance sheets.",
0000753308,NEXTERA ENERGY INC,1,"Structured Payables – Under NEE's structured payables program, subsidiaries of NEE issue negotiable drafts, backed by NEECH guarantees, to settle invoices with suppliers with payment terms (on average approximately 90 days) that extend the original invoice due date (typically 30 days) and include a service fee. At their discretion, the suppliers may assign the negotiable drafts and the rights under the NEECH guarantees to financial institutions. NEE and its subsidiaries are not party to any contractual agreements between their suppliers and the applicable financial institutions.At December 31, 2023 and 2022, NEE's outstanding obligations under its structured payables program were approximately $4.7 billion and $3.7 billion, respectively, substantially all of which is included in accounts payable on NEE's consolidated balance sheets.",
0000753308,NEXTERA ENERGY INC,1,"Structured Payables – Under NEE's structured payables program, subsidiaries of NEE issue negotiable drafts, backed by NEECH guarantees, to settle invoices with suppliers with payment terms (on average approximately 90 days) that extend the original invoice due date (typically 30 days) and include a service fee. At their discretion, the suppliers may assign the negotiable drafts and the rights under the NEECH guarantees to financial institutions. NEE and its subsidiaries are not party to any contractual agreements between their suppliers and the applicable financial institutions.At December 31, 2023 and 2022, NEE's outstanding obligations under its structured payables program were approximately $4.7 billion and $3.7 billion, respectively, substantially all of which is included in accounts payable on NEE's consolidated balance sheets.",
0000753308,NEXTERA ENERGY INC,1,"Structured Payables – Under NEE's structured payables program, subsidiaries of NEE issue negotiable drafts, backed by NEECH guarantees, to settle invoices with suppliers with payment terms (on average approximately 90 days) that extend the original invoice due date (typically 30 days) and include a service fee. At their discretion, the suppliers may assign the negotiable drafts and the rights under the NEECH guarantees to financial institutions. NEE and its subsidiaries are not party to any contractual agreements between their suppliers and the applicable financial institutions.At December 31, 2023 and 2022, NEE's outstanding obligations under its structured payables program were approximately $4.7 billion and $3.7 billion, respectively, substantially all of which is included in accounts payable on NEE's consolidated balance sheets.",
0000100885,UNION PACIFIC CORP,0,,
0000773840,HONEYWELL INTERNATIONAL INC,0,,
0001543151,"Uber Technologies, Inc",0,,
0000050863,INTEL CORP,0,,
0000101829,RTX Corp,0,,
0000060667,LOWES COMPANIES INC,0,,
0001075531,Booking Holdings Inc.,0,,
0000732717,AT&T INC.,1,,"[['', '2023'], ['Confirmed obligations outstanding at the beginning of year', '$', '2,869', '', '', ''], ['Invoices received', '12,496', '', '', ''], ['Invoices paid', '(12,521)', '', '', ''], ['Confirmed obligations outstanding at the end of year', '$', '2,844', '', '', '']]"
0000732717,AT&T INC.,1,,"[['', '2023'], ['Confirmed obligations outstanding at the beginning of year', '$', '2,869', '', '', ''], ['Invoices received', '12,496', '', '', ''], ['Invoices paid', '(12,521)', '', '', ''], ['Confirmed obligations outstanding at the end of year', '$', '2,844', '', '', '']]"
0000732717,AT&T INC.,1,,"[['', '2023'], ['Confirmed obligations outstanding at the beginning of year', '$', '2,869', '', '', ''], ['Invoices received', '12,496', '', '', ''], ['Invoices paid', '(12,521)', '', '', ''], ['Confirmed obligations outstanding at the end of year', '$', '2,844', '', '', '']]"
0000732717,AT&T INC.,1,,"[['', '2023'], ['Confirmed obligations outstanding at the beginning of year', '$', '2,869', '', '', ''], ['Invoices received', '12,496', '', '', ''], ['Invoices paid', '(12,521)', '', '', ''], ['Confirmed obligations outstanding at the end of year', '$', '2,844', '', '', '']]"
0000732717,AT&T INC.,1,,"[['', '2023'], ['Confirmed obligations outstanding at the beginning of year', '$', '2,869', '', '', ''], ['Invoices received', '12,496', '', '', ''], ['Invoices paid', '(12,521)', '', '', ''], ['Confirmed obligations outstanding at the end of year', '$', '2,844', '', '', '']]"
0000310764,STRYKER CORP,0,,
0001551182,Eaton Corp plc,1,,"[['(In millions)', 'SCF Obligations', '', ''], ['Balance at January\xa01, 2023', '$', '219', '', '', ''], ['Invoices confirmed during the period', '1,339', '', '', ''], ['Invoices paid during the period', '(1,185)', '', '', ''], ['Translation', '(4)', '', '', ''], ['Balance at December\xa031, 2023', '$', '369', '', '', '']]"
0001551182,Eaton Corp plc,1,,"[['(In millions)', 'SCF Obligations', '', ''], ['Balance at January\xa01, 2023', '$', '219', '', '', ''], ['Invoices confirmed during the period', '1,339', '', '', ''], ['Invoices paid during the period', '(1,185)', '', '', ''], ['Translation', '(4)', '', '', ''], ['Balance at December\xa031, 2023', '$', '369', '', '', '']]"
0001163165,CONOCOPHILLIPS,0,,
0000109198,TJX COMPANIES INC /DE/,0,,
0000875320,VERTEX PHARMACEUTICALS INC / MA,0,,
0000723125,MICRON TECHNOLOGY INC,0,,
0000080661,PROGRESSIVE CORP/OH/,0,,
0001364742,BlackRock Inc.,0,,
0000707549,LAM RESEARCH CORP,0,,
0000831001,CITIGROUP INC,0,,
0000831001,CITIGROUP INC,0,,
0000316709,SCHWAB CHARLES CORP,0,,
0000316709,SCHWAB CHARLES CORP,0,,
0000316709,SCHWAB CHARLES CORP,0,,
0000936468,LOCKHEED MARTIN CORP,0,,
0000872589,"REGENERON PHARMACEUTICALS, INC.",0,,
0001156039,"Elevance Health, Inc.",0,,
0001045609,"Prologis, Inc.",0,,
0001045609,"Prologis, Inc.",0,,
0000885725,BOSTON SCIENTIFIC CORP,0,,
0000006281,ANALOG DEVICES INC,0,,
0000012927,BOEING CO,0,,
0000320187,"NIKE, Inc.",0,,
0001404912,KKR & Co. Inc.,0,,
0001404912,KKR & Co. Inc.,0,,
0001327567,Palo Alto Networks Inc,0,,
0000319201,KLA CORP,0,,
0001596532,"Arista Networks, Inc.",0,,
0000062709,"MARSH & MCLENNAN COMPANIES, INC.",0,,
0001090727,UNITED PARCEL SERVICE INC,1,"Supplier Finance ProgramsAs part of our working capital management, certain financial institutions offer a Supply Chain Finance (""SCF"") program to certain of our suppliers. We agree to commercial terms with our suppliers, including prices, quantities and payment terms, regardless of whether the supplier elects to participate in the SCF program. Suppliers issue invoices to us based on the agreed-upon contractual terms. If they participate in the SCF program, our suppliers, at their sole discretion, determine which invoices, if any, to sell to the financial institutions. Our suppliers’ voluntary inclusion of invoices in the SCF program has no bearing on our payment terms. No guarantees are provided by us under the SCF program. We have no economic interest in a supplier’s decision to participate, and we have no direct financial relationship with the financial institutions, as it relates to the SCF program.Amounts due to our suppliers that participate in the SCF program are included in Accounts payable in our consolidated balance sheets.",
0001090727,UNITED PARCEL SERVICE INC,1,,"[['', '2023', '', ''], ['Confirmed obligations outstanding at the beginning of the year', '$', '806', '', '', ''], ['Invoices confirmed during the year', '2,428', '', '', ''], ['Confirmed invoices paid during the year', '(2,730)', '', '', ''], ['Confirmed obligations outstanding at the end of the year', '$', '504', '', '', '']]"
0000896159,Chubb Ltd,0,,
0000315189,DEERE & CO,0,,
0001613103,Medtronic plc,0,,
0000008670,AUTOMATIC DATA PROCESSING INC,0,,
0001053507,AMERICAN TOWER CORP /MA/,0,,
0001739940,Cigna Group,1,"Note 4 – Supplier Finance ProgramThe Company facilitates a voluntary supplier finance program (the ""Program"") that provides suppliers the opportunity to sell their accounts receivable due from us (i.e., our payment obligations to the suppliers) to a financial institution, on a non-recourse basis, in order to be paid earlier than our payment terms require. The Cigna Group is not a party to the Program and agrees to commercial terms with its suppliers independently of their participation in the Program. Amounts due to suppliers that participate in the Program are generally paid within one month following the invoice date. A supplier's participation in the Program has no impact on the Company's payment terms and the Company has no economic interest in a supplier's decision to participate in the Program. The suppliers, at their sole discretion, determine which invoices, if any, to sell to the financial institution. No guarantees or pledged assets are provided by the Company or any of our subsidiaries under the Program. As of December 31, 2023 and December 31, 2022, $1.5 billion and $1.3 billion, respectively, of the Company's outstanding payment obligations were confirmed as valid within the Program by the financial institution and are reflected in Accounts payable in the Consolidated Balance Sheets. The amounts confirmed as valid for both periods are predominately associated with one supplier. As of December 31, 2023, we have been informed by the financial institution that $298 million of the Company's outstanding payment obligations were voluntarily elected by suppliers to be sold to the financial institution under the Program.",
0001559720,"Airbnb, Inc.",0,,
0000798354,FISERV INC,0,,
0000883241,SYNOPSYS INC,0,,
0001571996,Dell Technologies Inc.,0,,
0000092122,SOUTHERN CO,0,,
0000092122,SOUTHERN CO,0,,
0000092122,SOUTHERN CO,0,,
0000092122,SOUTHERN CO,0,,
0000860730,"HCA Healthcare, Inc.",0,,
0000882095,"GILEAD SCIENCES, INC.",0,,
0001103982,"Mondelez International, Inc.",1,"Supply Chain FinancingAs part of our continued efforts to improve our working capital efficiency, we have worked with our suppliers over the past several years to optimize our terms and conditions, which include the extension of payment terms. Our current payment terms with a majority of our suppliers are from 30 to 180 days, which we deem to be commercially reasonable. We also facilitate voluntary supply chain financing (“SCF”) programs through several participating financial institutions. Under these programs, our suppliers, at their sole discretion, determine invoices that they want to sell to participating financial institutions. Our suppliers’ voluntary inclusion of invoices in SCF programs has no bearing on our payment terms or amounts due. Our responsibility is limited to making payments based upon the agreed-upon contractual terms. No guarantees are provided by the Company or any of our subsidiaries under the SCF programs and we have no economic interest in the suppliers’ decision to participate in the SCF programs. Amounts due to our suppliers that elected to participate in the SCF program are included in accounts payable in our consolidated balance sheets.",
0000823768,WASTE MANAGEMENT INC,0,,
0000089800,SHERWIN WILLIAMS CO,0,,
0000829224,STARBUCKS CORP,0,,
0001099590,MERCADOLIBRE INC,0,,
0000014272,BRISTOL MYERS SQUIBB CO,0,,
0000014272,BRISTOL MYERS SQUIBB CO,0,,
0000014272,BRISTOL MYERS SQUIBB CO,0,,
0001571949,"Intercontinental Exchange, Inc.",0,,
0000764180,"ALTRIA GROUP, INC.",1,,"[['', 'For the Year Ended December 31, 2023'], ['(in millions)'], ['Confirmed outstanding obligations at beginning of year', '$', '8', ''], ['Invoices confirmed during the year', '244', ''], ['Confirmed invoices paid during the year', '(133)', ''], ['Confirmed outstanding obligations at end of year', '$', '119', '']]"
0000764180,"ALTRIA GROUP, INC.",1,,"[['', 'For the Year Ended December 31, 2023'], ['(in millions)'], ['Confirmed outstanding obligations at beginning of year', '$', '8', ''], ['Invoices confirmed during the year', '244', ''], ['Confirmed invoices paid during the year', '(133)', ''], ['Confirmed outstanding obligations at end of year', '$', '119', '']]"
0001326160,Duke Energy CORP,0,,
0001326160,Duke Energy CORP,0,,
0001326160,Duke Energy CORP,0,,
0001326160,Duke Energy CORP,0,,
0001059556,MOODYS CORP /DE/,0,,
0001555280,Zoetis Inc.,0,,
0001001838,SOUTHERN COPPER CORP/,0,,
0000040533,GENERAL DYNAMICS CORP,0,,
0000820313,AMPHENOL CORP /DE/,0,,
0000021665,COLGATE PALMOLIVE CO,1,"Supplier Finance ProgramThe Company has agreements to provide supplier finance programs which facilitate participating suppliers' ability to finance payment obligations of the Company with designated third-party financial institutions. Participating suppliers may, at their sole discretion, elect to finance one or more payment obligations of the Company prior to their scheduled due dates at a discounted price to participating financial institutions. The Company’s obligations to its suppliers, including amounts due and scheduled payment dates, are not impacted by suppliers’ decisions to finance amounts under these arrangements. The outstanding payment obligations under the Company’s supplier finance programs are included in Accounts Payable in the Consolidated Balance Sheets and were not material as of December 31, 2023 or 2022.",
0001466258,Trane Technologies plc,1,"SUPPLIER FINANCING ARRANGEMENTSThe Company has an agreement with a U.S. financial institution that allows its suppliers to sell their receivables to the financial institution at the sole discretion of both the supplier and the financial institution on terms that are negotiated between them. The Company may not always be notified when its suppliers sell receivables under this program.The Company’s obligations to its suppliers, including the amounts due and scheduled payment dates, are not impacted by the suppliers’ decisions to sell their receivables under the program. Outstanding invoices under the supplier financing program were $246.0 million and $247.2 million at December 31, 2023 and December 31, 2022, respectively, which are included within Accounts payable in the Consolidated Balance Sheets.",
0000895728,ENBRIDGE INC,0,,
0000895728,ENBRIDGE INC,0,,
0000895728,ENBRIDGE INC,0,,
0000895728,ENBRIDGE INC,0,,
0000895728,ENBRIDGE INC,0,,
0000895728,ENBRIDGE INC,0,,
0000895728,ENBRIDGE INC,0,,
0000895728,ENBRIDGE INC,0,,
0000895728,ENBRIDGE INC,0,,
0000895728,ENBRIDGE INC,0,,
0000895728,ENBRIDGE INC,0,,
0000895728,ENBRIDGE INC,0,,
0000895728,ENBRIDGE INC,0,,
0000895728,ENBRIDGE INC,0,,
0000723254,CINTAS CORP,0,,
0000813672,CADENCE DESIGN SYSTEMS INC,0,,
0000016875,CANADIAN PACIFIC KANSAS CITY LTD/CN,0,,
0001101239,EQUINIX INC,0,,
0000927653,MCKESSON CORP,0,,
0001048911,FEDEX CORP,0,,
0000064803,CVS HEALTH Corp,0,,
0000049826,ILLINOIS TOOL WORKS INC,0,,
0001058090,CHIPOTLE MEXICAN GRILL INC,0,,
0001260221,TransDigm Group INC,0,,
0000821189,EOG RESOURCES INC,0,,
0001156375,CME GROUP INC.,0,,
0000713676,"PNC FINANCIAL SERVICES GROUP, INC.",0,,
0000076334,PARKER HANNIFIN CORP,0,,
0000036104,US BANCORP \DE\,0,,
0000036104,US BANCORP \DE\,0,,
0000036104,US BANCORP \DE\,0,,
0000036104,US BANCORP \DE\,0,,
0000036104,US BANCORP \DE\,0,,
0000036104,US BANCORP \DE\,0,,
0000036104,US BANCORP \DE\,0,,
0001858681,"Apollo Global Management, Inc.",0,,
0001858681,"Apollo Global Management, Inc.",0,,
0001858681,"Apollo Global Management, Inc.",0,,
0000031462,ECOLAB INC.,0,,
0000087347,SCHLUMBERGER LIMITED/NV,0,,
0000027419,TARGET CORP,0,,
0001048286,MARRIOTT INTERNATIONAL INC /MD/,0,,
0000010795,BECTON DICKINSON & CO,0,,
0000032604,EMERSON ELECTRIC CO,0,,
0001535527,"CrowdStrike Holdings, Inc.",0,,
0000068505,"Motorola Solutions, Inc.",1,,"[['(in millions)', '2023'], ['Confirmed obligations at the beginning of the year', '$', '37', ''], ['Invoices confirmed during the year', '114', ''], ['Confirmed invoices paid during the year', '(116)', ''], ['Confirmed obligations outstanding at the end of the year', '$', '35', '']]"
0000277948,CSX CORP,0,,
0001413447,NXP Semiconductors N.V.,0,,
0000766704,WELLTOWER INC.,0,,
0001133421,NORTHROP GRUMMAN CORP /DE/,0,,
0000315293,Aon plc,0,,
0001061219,ENTERPRISE PRODUCTS PARTNERS L.P.,0,,
0001061219,ENTERPRISE PRODUCTS PARTNERS L.P.,0,,
0000831259,FREEPORT-MCMORAN INC,0,,
0001321655,Palantir Technologies Inc.,0,,
0001679788,"Coinbase Global, Inc.",0,,
0001633917,"PayPal Holdings, Inc.",0,,
0001060391,"REPUBLIC SERVICES, INC.",0,,
0000898173,O REILLY AUTOMOTIVE INC,0,,
0001783180,CARRIER GLOBAL Corp,0,,
0000882835,ROPER TECHNOLOGIES INC,0,,
0001327811,"Workday, Inc.",0,,
0001868275,Constellation Energy Corp,0,,
0000354190,Arthur J. Gallagher & Co.,0,,
0001835632,"Marvell Technology, Inc.",0,,
0000092230,TRUIST FINANCIAL CORP,0,,
0000092230,TRUIST FINANCIAL CORP,0,,
0000092230,TRUIST FINANCIAL CORP,0,,
0000092230,TRUIST FINANCIAL CORP,0,,
0001063761,SIMON PROPERTY GROUP INC /DE/,0,,
0001063761,SIMON PROPERTY GROUP INC /DE/,0,,
0000882184,HORTON D R INC /DE/,0,,
0001534701,Phillips 66,0,,
0000066740,3M CO,1,"NOTE 15. Supplier Finance Program ObligationsUnder supplier finance programs, 3M agrees to pay participating banks the stated amount of confirmed invoices from its designated suppliers on the original maturity dates of the invoices, generally within 90 days of the invoice date. 3M or the banks may terminate the agreements with advance notice. Separately, the banks may have arrangements with the suppliers that provide them the option to request early payment from the banks for invoices confirmed by 3M. 3M's outstanding balances of confirmed invoices in the programs as of December 31, 2023 and December 31, 2022 were approximately $270 million and $260 million, respectively. These amounts are included within accounts payable on 3M's consolidated balance sheet.",
0001222333,SPDR GOLD TRUST,0,,
0001510295,Marathon Petroleum Corp,0,,
0000849395,CRH PUBLIC LTD CO,0,,
0000002969,"Air Products & Chemicals, Inc.",0,,
0000927628,CAPITAL ONE FINANCIAL CORP,0,,
0000927628,CAPITAL ONE FINANCIAL CORP,0,,
0000927628,CAPITAL ONE FINANCIAL CORP,0,,
0000927628,CAPITAL ONE FINANCIAL CORP,0,,
0000927628,CAPITAL ONE FINANCIAL CORP,0,,
0000927628,CAPITAL ONE FINANCIAL CORP,0,,
0001585689,Hilton Worldwide Holdings Inc.,0,,
0000037996,FORD MOTOR CO,0,,
0000037996,FORD MOTOR CO,0,,
0000037996,FORD MOTOR CO,0,,
0000037996,FORD MOTOR CO,0,,
0001276187,Energy Transfer LP,0,,
0001276187,Energy Transfer LP,0,,
0001164727,NEWMONT Corp /DE/,0,,
0001164727,NEWMONT Corp /DE/,0,,
0000107263,"WILLIAMS COMPANIES, INC.",0,,
0000004977,AFLAC INC,0,,
0001099219,METLIFE INC,0,,
0001099219,METLIFE INC,0,,
0001099219,METLIFE INC,0,,
0001099219,METLIFE INC,0,,
0000797468,OCCIDENTAL PETROLEUM CORP /DE/,0,,
0000797468,OCCIDENTAL PETROLEUM CORP /DE/,0,,
0000769397,"Autodesk, Inc.",0,,
0001393311,Public Storage,0,,
0001393311,Public Storage,0,,
0001393311,Public Storage,0,,
0001393311,Public Storage,0,,
0001393311,Public Storage,0,,
0001393311,Public Storage,0,,
0001393311,Public Storage,0,,
0001393311,Public Storage,0,,
0001393311,Public Storage,0,,
0001393311,Public Storage,0,,
0001393311,Public Storage,0,,
0001393311,Public Storage,0,,
0001393311,Public Storage,0,,
0001393311,Public Storage,0,,
0001393311,Public Storage,0,,
0001467858,General Motors Co,0,,
0001099800,Edwards Lifesciences Corp,0,,
0001297996,"DIGITAL REALTY TRUST, INC.",0,,
0001297996,"DIGITAL REALTY TRUST, INC.",0,,
0001297996,"DIGITAL REALTY TRUST, INC.",0,,
0001297996,"DIGITAL REALTY TRUST, INC.",0,,
0001381197,"Interactive Brokers Group, Inc.",0,,
0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",0,,
0000075362,PACCAR INC,0,,
0000702165,NORFOLK SOUTHERN CORP,0,,
0000900075,COPART INC,0,,
0000866787,AUTOZONE INC,0,,
0001067701,"UNITED RENTALS, INC.",0,,
0000726728,REALTY INCOME CORP,0,,
0000726728,REALTY INCOME CORP,0,,
0000865752,Monster Beverage Corp,0,,
0000004904,AMERICAN ELECTRIC POWER CO INC,0,,
0001032208,SEMPRA,0,,
0001032208,SEMPRA,0,,
0001671933,"Trade Desk, Inc.",0,,
0001039684,ONEOK INC /NEW/,0,,
0000827054,MICROCHIP TECHNOLOGY INC,0,,
0001035002,VALERO ENERGY CORP/TX,0,,
0001506307,"KINDER MORGAN, INC.",0,,
0001506307,"KINDER MORGAN, INC.",0,,
0000745732,"ROSS STORES, INC.",0,,
0001004980,PG&E Corp,0,,
0001004980,PG&E Corp,0,,
0001004980,PG&E Corp,0,,
0001004980,PG&E Corp,0,,
0001004980,PG&E Corp,0,,
0001004980,PG&E Corp,0,,
0001004980,PG&E Corp,0,,
0001004980,PG&E Corp,0,,
0001004980,PG&E Corp,0,,
0000030554,"EIDP, Inc.",0,,
0000030554,"EIDP, Inc.",0,,
0000920760,LENNAR CORP /NEW/,0,,
0000920760,LENNAR CORP /NEW/,0,,
0000086312,"TRAVELERS COMPANIES, INC.",0,,
